FLOC,Latitude,Longitude,Division,County,Town,Road,Line,Pole
9302-L0089-0447-0014-ED00001,43.24756052,-77.62575267,Central,MONROE,GREECE,ALPINE RD,169,1
9302-L0089-0447-0014-ED00002,43.25122949,-77.62555477,Central,MONROE,GREECE,ALPINE RD,169,10
9302-L0089-0447-0014-ED00003,43.25163284,-77.62552175,Central,MONROE,GREECE,ALPINE RD,169,11
9302-L0089-0447-0014-ED00004,43.25207443,-77.62551953,Central,MONROE,GREECE,ALPINE RD,169,12
9302-L0089-0447-0014-ED00005,43.25206079,-77.62539088,Central,MONROE,GREECE,ALPINE RD,169,12A
9302-L0089-0447-0014-ED00006,43.25241547,-77.62548712,Central,MONROE,GREECE,ALPINE RD,169,13
9302-L0089-0447-0014-ED00007,43.247965,-77.62571433,Central,MONROE,GREECE,ALPINE RD,169,2
9302-L0089-0447-0014-ED00008,43.24839991,-77.62570716,Central,MONROE,GREECE,ALPINE RD,169,3
9302-L0089-0447-0014-ED00009,43.24879487,-77.62569484,Central,MONROE,GREECE,ALPINE RD,169,4
9302-L0089-0447-0014-ED00012,43.24917954,-77.62566285,Central,MONROE,GREECE,ALPINE RD,169,5
9302-L0089-0447-0014-ED00013,43.24960056,-77.62566105,Central,MONROE,GREECE,ALPINE RD,169,6
9302-L0089-0447-0014-ED00014,43.24995668,-77.62564085,Central,MONROE,GREECE,ALPINE RD,169,7
9302-L0089-0447-0014-ED00015,43.25037734,-77.62562927,Central,MONROE,GREECE,ALPINE RD,169,8
9302-L0089-0447-0014-ED00016,43.25078659,-77.62556053,Central,MONROE,GREECE,ALPINE RD,169,9
9302-L0089-0447-0014-ED00017,43.2520973,-77.62471493,Central,MONROE,GREECE,ALPINE RD,169,A
9302-L0089-0447-0014-ED00018,43.25206263,-77.62600755,Central,MONROE,GREECE,ALPINE RD,169,A
9302-L0089-0447-0014-ED00019,43.24944412,-77.62634271,Central,MONROE,GREECE,ALPINE RD,169,A
9302-L0089-0447-0014-ED00020,43.24706711,-77.62649921,Central,MONROE,GREECE,ALPINE RD,169,A
9302-L0089-0447-0014-ED00021,43.25229154,-77.62597915,Central,MONROE,GREECE,ALPINE RD,169,A1
9302-L0089-0447-0014-ED00022,43.25181293,-77.62471801,Central,MONROE,GREECE,ALPINE RD,169,B
9302-L0089-0447-0014-ED00023,43.24665409,-77.62650203,Central,MONROE,GREECE,ALPINE RD,169,B
9302-L0089-0447-0014-ED00024,43.2520106,-77.62623312,Central,MONROE,GREECE,ALPINE RD,169,B
9302-L0089-0447-0014-ED00025,43.24904066,-77.62636388,Central,MONROE,GREECE,ALPINE RD,169,B
9302-L0089-0447-0014-ED00026,43.25154578,-77.62472368,Central,MONROE,GREECE,ALPINE RD,169,C
9302-L0089-0447-0014-ED00027,43.24623511,-77.62653731,Central,MONROE,GREECE,ALPINE RD,169,C
